id;X;Y;Z;dist1;dist2;dist3
384;2.837655;0;4.932842;14.53;10.3;23.07
385;2.837655;0;4.679371;14.52;10.29;23.07
386;2.837655;0;4.425901;14.51;10.28;23.07
387;2.837655;0;4.172431;14.51;10.28;23.07
388;2.837655;0;3.918961;14.52;10.29;23.07
389;2.837655;0;3.66549;14.53;10.3;23.07
390;2.837655;0;3.41202;14.54;10.32;23.07
391;2.837655;0;3.15855;14.55;10.34;23.07
392;2.837655;0;2.90508;14.58;10.37;23.07
393;2.837655;0;2.65161;14.6;10.4;23.07
394;2.837655;0;2.398139;14.63;10.44;23.07
395;2.837655;0;2.144669;14.66;10.49;23.07
396;2.837655;0;1.891199;14.7;10.54;23.07
397;2.837655;0;1.637729;14.74;10.6;23.07
398;2.837655;0;1.384259;14.79;10.67;23.07
399;2.837655;0;1.130788;14.84;10.74;23.07
400;2.837655;0;0.877318;14.9;10.81;23.07
401;2.837655;0;0.623848;14.95;10.89;23.07
402;2.837655;0;0.370378;15.02;10.98;23.07
403;3.087023;0;7.974484;14.73;10.69;22.82
404;3.087023;0;7.721014;14.67;10.6;22.82
405;3.087023;0;7.467544;14.62;10.52;22.82
406;3.087023;0;7.214073;14.56;10.45;22.82
407;3.087023;0;6.960603;14.52;10.38;22.82
408;3.087023;0;6.707133;14.47;10.32;22.82
409;3.087023;0;6.453663;14.43;10.27;22.82
410;3.087023;0;6.200193;14.39;10.22;22.82
411;3.087023;0;5.946722;14.36;10.17;22.82
412;3.087023;0;5.693252;14.34;10.13;22.82
413;3.087023;0;5.439782;14.31;10.1;22.82
414;3.087023;0;5.186312;14.29;10.07;22.82
415;3.087023;0;4.932842;14.28;10.06;22.82
416;3.087023;0;4.679371;14.27;10.04;22.82
417;3.087023;0;4.425901;14.27;10.03;22.82
418;3.087023;0;4.172431;14.26;10.03;22.82
419;3.087023;0;3.918961;14.27;10.04;22.82
420;3.087023;0;3.66549;14.28;10.05;22.82
421;3.087023;0;3.41202;14.29;10.07;22.82
422;3.087023;0;3.15855;14.31;10.09;22.82
423;3.087023;0;2.90508;14.33;10.12;22.82
424;3.087023;0;2.65161;14.35;10.16;22.82
425;3.087023;0;2.398139;14.38;10.2;22.82
426;3.087023;0;2.144669;14.42;10.25;22.82
427;3.087023;0;1.891199;14.46;10.3;22.82
428;3.087023;0;1.637729;14.5;10.36;22.82
429;3.087023;0;1.384259;14.55;10.43;22.82
430;3.087023;0;1.130788;14.6;10.5;22.82
431;3.087023;0;0.877318;14.65;10.57;22.82
432;3.087023;0;0.623848;14.71;10.66;22.82
433;3.087023;0;0.370378;14.78;10.74;22.82
434;3.336391;0;7.974484;14.49;10.45;22.57
435;3.336391;0;7.721014;14.43;10.37;22.57
436;3.336391;0;7.467544;14.37;10.29;22.57
437;3.336391;0;7.214073;14.32;10.21;22.57
438;3.336391;0;6.960603;14.27;10.14;22.57
439;3.336391;0;6.707133;14.22;10.08;22.57
440;3.336391;0;6.453663;14.18;10.02;22.57
441;3.336391;0;6.200193;14.15;9.97;22.57
442;3.336391;0;5.946722;14.12;9.93;22.57
443;3.336391;0;5.693252;14.09;9.89;22.57
444;3.336391;0;5.439782;14.06;9.85;22.57
445;3.336391;0;5.186312;14.05;9.83;22.57
446;3.336391;0;4.932842;14.03;9.81;22.57
447;3.336391;0;4.679371;14.02;9.79;22.57
448;3.336391;0;4.425901;14.02;9.78;22.57
449;3.336391;0;4.172431;14.02;9.78;22.57
450;3.336391;0;3.918961;14.02;9.79;22.57
451;3.336391;0;3.66549;14.03;9.8;22.57
452;3.336391;0;3.41202;14.04;9.82;22.57
453;3.336391;0;3.15855;14.06;9.84;22.57
454;3.336391;0;2.90508;14.08;9.87;22.57
455;3.336391;0;2.65161;14.11;9.91;22.57
456;3.336391;0;2.398139;14.14;9.95;22.57
457;3.336391;0;2.144669;14.17;10;22.57
458;3.336391;0;1.891199;14.21;10.06;22.57
459;3.336391;0;1.637729;14.25;10.12;22.57
460;3.336391;0;1.384259;14.3;10.19;22.57
461;3.336391;0;1.130788;14.35;10.26;22.57
462;3.336391;0;0.877318;14.41;10.34;22.57
463;3.336391;0;0.623848;14.47;10.42;22.57
464;3.336391;0;0.370378;14.54;10.51;22.57
465;3.585759;0;7.974484;14.25;10.22;22.32
466;3.585759;0;7.721014;14.19;10.13;22.32
467;3.585759;0;7.467544;14.13;10.05;22.32
468;3.585759;0;7.214073;14.08;9.97;22.32
469;3.585759;0;6.960603;14.03;9.9;22.32
470;3.585759;0;6.707133;13.98;9.84;22.32
471;3.585759;0;6.453663;13.94;9.78;22.32
472;3.585759;0;6.200193;13.9;9.73;22.32
473;3.585759;0;5.946722;13.87;9.68;22.32
474;3.585759;0;5.693252;13.84;9.64;22.32
475;3.585759;0;5.439782;13.82;9.61;22.32
476;3.585759;0;5.186312;13.8;9.58;22.32
477;3.585759;0;4.932842;13.78;9.56;22.32
478;3.585759;0;4.679371;13.77;9.54;22.32
479;3.585759;0;4.425901;13.77;9.54;22.32
480;3.585759;0;4.172431;13.77;9.53;22.32
481;3.585759;0;3.918961;13.77;9.54;22.32
482;3.585759;0;3.66549;13.78;9.55;22.32
483;3.585759;0;3.41202;13.79;9.57;22.32
484;3.585759;0;3.15855;13.81;9.6;22.32
485;3.585759;0;2.90508;13.83;9.63;22.32
486;3.585759;0;2.65161;13.86;9.66;22.32
